Method,mAP,P@10,MRR,Latency (ms),Δ mAP vs Semantic (%)
BM25 (Okapi),0.058481539178985985,0.27041145623235174,0.5327077996758811,51.61621581166442,-74.7
TF-IDF,0.07054156893620749,0.3150060508269463,0.5783200188813377,41.07787061862861,-69.5
Hybrid (α·BM25 + β·Semantic),0.11682635620437372,0.47646228317870115,0.7571707617904652,114.9429795048611,-49.5
Semantic Only (FlatL2),0.2312501110130096,0.7179104477611941,0.8641944284569971,18.01619139252386,0.0
SentiVec — Ours (FlatL2),0.3497658709985945,0.8305163372327551,0.8305768455022187,28.104892994617927,51.3
