approach,index_type,num_queries,avg_latency_ms,std_latency_ms,mAP,MRR,Precision@5,Recall@5,Precision@10,Recall@10,Precision@20,Recall@20
without_sentiment,flatl2,5000,18.81121773719788,1.6000193337887836,0.230207969031644,0.846836003142884,0.7199200000000001,0.07411449810243564,0.7113,0.1466008841880487,0.69783,0.28748759971569215
without_sentiment,ivf,5000,9.784477615356446,1.0576303935039126,0.23138055002092223,0.8465766892051877,0.7227600000000001,0.07442543420325722,0.71336,0.14689458231564423,0.7,0.28814990507760474
without_sentiment,hnsw,5000,9.109292984008789,1.0316605056409947,0.23100117849208868,0.8448290307525292,0.72192,0.0742094749864042,0.7119,0.14655949610412936,0.69722,0.2869945628545916
without_sentiment,ivfpq,5000,9.079663944244384,0.963875036886212,0.12415259445509413,0.7601256657102787,0.56028,0.05767777616336009,0.50434,0.10390808357459559,0.4379200000000001,0.1806620245333935
with_sentiment,flatl2,5000,27.627176380157472,2.4619456390201337,0.3705456400417883,0.8838,0.8838,0.0928232936505428,0.8838,0.1856465873010856,0.8832200000000001,0.3705456400417883
with_sentiment,ivf,5000,18.342298460006713,2.0850685342443547,0.36884599176587635,0.8838,0.8838,0.0928232936505428,0.8836799999999999,0.18559442063441892,0.8806799999999999,0.36884599176587635
with_sentiment,hnsw,5000,17.68241720199585,2.1139658202355505,0.36489392128950005,0.8826,0.8824799999999999,0.09266306130419603,0.8817799999999999,0.1850774232374031,0.87413,0.36489392128950005
with_sentiment,ivfpq,5000,17.489827871322632,2.1091941046931653,0.1753300505376275,0.8021718260334436,0.66564,0.06956858993414712,0.5979399999999999,0.12478527682883428,0.5113825,0.21284447446502053
