Method,mAP,P@10,MRR,Latency (ms),Delta vs Semantic (%)
BM25,0.012046550796021011,0.08961274707543364,0.2513581901159301,30.434419523087563,-93.9
TF-IDF,0.015091676901084239,0.10562726906010489,0.2798297386310301,23.299196642606,-92.3
Hybrid (0.3+0.7),0.058817495364838386,0.31557079467527227,0.6019794873478276,96.36945304201225,-70.1
Semantic Only,0.19678170158387373,0.6379790237999194,0.775412002071468,19.50430004478415,0.0
SentiVec (Ours),0.3593495816126704,0.8304759983864461,0.8305768455022187,29.440394857805934,82.6
